Date,Open,High,Low,Close,Adj Close,Volume
2019-05-31,79.790001,80.589996,79.410004,80.449997,79.836723,4137000
2019-06-03,80.599998,83.760002,80.559998,82.949997,82.317665,7071800
2019-06-04,83.349998,85.959999,83.250000,85.849998,85.195564,7952700
2019-06-05,86.379997,87.410004,85.129997,85.489998,84.838303,6744500
2019-06-06,85.480003,86.040001,84.699997,85.699997,85.046707,4558400
2019-06-07,86.260002,87.430000,86.050003,86.849998,86.187943,5214100
2019-06-10,87.339996,87.980003,87.150002,87.550003,86.882607,3019500
2019-06-11,88.000000,88.639999,87.629997,87.849998,87.180313,4285000
2019-06-12,87.910004,88.389999,87.589996,88.260002,87.587196,3650900
2019-06-13,88.459999,89.150002,87.970001,88.300003,87.626892,3200300
2019-06-14,88.330002,88.730003,87.269997,87.790001,87.120773,4300800
2019-06-17,87.459999,87.599998,86.279999,87.139999,86.475731,4194500
2019-06-18,87.510002,87.610001,86.279999,86.470001,85.810837,4389100
2019-06-19,86.540001,86.750000,85.629997,86.160004,85.503204,4088200
2019-06-20,86.660004,86.690002,85.480003,86.209999,85.552818,3814800
2019-06-21,86.360001,88.599998,86.059998,87.599998,86.932220,7847600
2019-06-24,87.459999,87.989998,86.449997,86.720001,86.058929,3059000
2019-06-25,87.139999,87.250000,85.559998,85.699997,85.046707,5061300
2019-06-26,86.059998,86.599998,85.529999,85.589996,84.937546,2978100
2019-06-27,85.610001,86.190002,85.290001,85.870003,85.215416,2941600
2019-06-28,85.800003,87.129997,85.750000,86.610001,85.949768,5284100
2019-07-01,87.550003,88.839996,86.010002,86.940002,86.277260,4780700
2019-07-02,86.910004,87.050003,86.239998,87.040001,86.376495,2323600
2019-07-03,87.500000,87.980003,87.419998,87.900002,87.229935,1532900
2019-07-05,87.750000,88.779999,87.440002,88.639999,87.964294,2032000
2019-07-08,88.550003,89.410004,87.949997,88.910004,88.232239,4734400
2019-07-09,88.470001,89.400002,87.800003,87.800003,87.130699,3986900
2019-07-10,87.849998,88.000000,85.680000,85.849998,85.195564,5638400
2019-07-11,86.400002,87.220001,86.059998,86.470001,85.810837,5307700
2019-07-12,87.050003,88.879997,86.730003,87.529999,86.862755,4732000
2019-07-15,87.550003,88.209999,86.449997,86.800003,86.138329,3174200
2019-07-16,87.419998,88.820000,87.099998,88.309998,87.636810,5276900
2019-07-17,88.050003,88.120003,87.209999,87.860001,87.190239,3671100
2019-07-18,87.510002,88.519997,87.029999,88.500000,87.825363,3847900
2019-07-19,88.839996,89.139999,88.000000,88.010002,87.339104,3420400
2019-07-22,88.250000,88.639999,86.879997,87.220001,86.555122,2850200
2019-07-23,87.750000,88.559998,86.690002,88.540001,87.865059,4304000
2019-07-24,88.019997,89.510002,87.720001,89.089996,88.410858,3204700
2019-07-25,88.820000,89.029999,87.419998,87.970001,87.299408,3603500
2019-07-26,87.839996,87.839996,86.370003,87.059998,86.396339,5315900
2019-07-29,87.160004,87.459999,86.660004,87.230003,86.565048,3328800
2019-07-30,87.269997,87.290001,86.220001,86.879997,86.217712,2733400
2019-07-31,86.830002,87.510002,85.830002,86.400002,85.741371,4470600
2019-08-01,86.190002,87.040001,81.029999,82.620003,81.990189,7100500
2019-08-02,82.529999,82.730003,81.449997,81.519997,80.898567,5134500
2019-08-05,81.300003,81.570000,80.029999,80.790001,80.174141,7255600
2019-08-06,81.160004,83.209999,80.769997,82.769997,82.139038,5546300
2019-08-07,81.940002,83.250000,81.129997,83.010002,82.377213,4762100
2019-08-08,83.730003,84.620003,82.980003,83.800003,83.161194,4464100
2019-08-09,83.500000,84.370003,82.050003,82.410004,81.781792,4966300
2019-08-12,81.320000,82.150002,81.050003,82.029999,81.404686,4913400
2019-08-13,81.599998,86.639999,81.209999,84.239998,83.597832,8412100
2019-08-14,81.860001,83.220001,81.150002,81.889999,81.265747,7011500
2019-08-15,83.360001,84.050003,82.010002,82.559998,81.930641,5389000
2019-08-16,83.300003,84.459999,83.169998,84.209999,83.568062,4861100
2019-08-19,86.500000,86.879997,85.709999,86.580002,85.919998,7353800
2019-08-20,86.230003,87.120003,85.529999,85.529999,85.529999,8797200
2019-08-21,99.870003,103.379997,98.129997,103.000000,103.000000,41449400
2019-08-22,105.389999,106.519997,103.379997,106.320000,106.320000,17105700
2019-08-23,104.769997,105.940002,103.250000,103.489998,103.489998,8989600
2019-08-26,104.910004,105.739998,103.769997,104.769997,104.769997,5583100
2019-08-27,105.010002,105.099998,104.260002,104.699997,104.699997,5319900
2019-08-28,104.669998,106.720001,104.500000,106.400002,106.400002,6641000
2019-08-29,107.989998,108.550003,106.930000,107.930000,107.930000,5196600
2019-08-30,108.500000,109.330002,106.830002,107.040001,107.040001,5309000
